selection_order,session_id,candidate_order,prediction_key,deadline,judgment,judgment_binary_primary,evidence_strength,primary_evidence_url,secondary_evidence_url,evidence_date_or_period,evidence_summary,threshold_application,conflict_or_missing_application,coder,evaluated_at,notes
1,BHPRO-2005-01,06,1-BHPRO-2005-01-06,2006-07-28,not_fulfilled,0,strong,https://www.gao.gov/assets/gao-06-674.pdf,https://www.congress.gov/bill/109th-congress/senate-bill/1789,2006-06,"GAO found that FCRA and GLBA coverage was limited and recommended extending safeguarding duties to all sensitive personal information held even by information resellers; the broader Senate proposal remained legislation rather than an enacted generally applicable duty.","The frozen threshold required a generally applicable duty in force, not sectoral duties or an introduced bill. That condition was not met by the deadline.","Sector-specific safeguards existed, but they do not satisfy the frozen population. GAO's contemporaneous review supplies affirmative evidence of the gap rather than inference from silence.",Codex,2026-08-08,"Prediction scored against federal/general US coverage, consistent with its frozen wording."
4,BHPRO-2014-03,03,4-BHPRO-2014-03-03,2015-08-07,not_fulfilled,0,strong,https://www.intel.com/content/www/us/en/products/sku/94035/intel-xeon-phi-processor-7250-16gb-1-40-ghz-68-core/specifications.html,https://www.intel.com/content/www/us/en/developer/articles/technical/intel-avx-512-instructions.html,2016-Q2,"Intel identifies Knights Landing as the first AVX-512 implementation and lists the qualifying Xeon Phi 7250 launch in Q2 2016.","The first qualifying physical implementation arrived after 7 August 2015, so the explicit deadline was missed.","Pre-release specifications, emulators and announcements are excluded by the frozen requirement for physical hardware shipping or publicly available.",Codex,2026-08-08,"Intel ARK and Intel's AVX-512 technical page are mutually consistent."
11,CCC-2005-002,09,11-CCC-2005-002-09,2015-12-27,indeterminate,,moderate,https://www.radicati.com/wp/wp-content/uploads/2015/02/Email-Statistics-Report-2015-2019-Executive-Summary.pdf,https://www.sec.gov/Archives/edgar/data/1644675/000119312516602289/d151376d20f.htm,2015,"Contemporaneous evidence estimates 205.6 billion emails per day worldwide and documents commercial archives at petabyte scale, but no located product documentation explicitly claims capacity to store all worldwide email traffic.","Neither the frozen success threshold—an explicitly documented all-world-email product—nor its contradiction threshold is established.","Absence of a located marketing or technical claim is not evidence that no qualifying commercial system existed; the preregistered missing-evidence rule therefore requires indeterminate.",Codex,2026-08-08,"Capacity calculations were not substituted for the required explicit capability statement."
23,CCC-2018-085,05,23-CCC-2018-085-05,2019-12-31,fulfilled,1,strong,https://digital.nhs.uk/cyber-alerts/2019/cc-3120,https://www.csk.gov.in/alerts/silex.html,2019-06-27_to_2019-07-03,"NHS Digital and India's official botnet-cleaning centre documented the Silex worm spreading against IoT devices in June 2019 and compromising them through default Telnet credentials.","One documented in-the-wild 2019 campaign using a named frozen mechanism is sufficient; Silex directly satisfies occurrence, target, mechanism and year.","Two independent governmental technical advisories agree; no material conflict remains.",Codex,2026-08-08,"The evidence describes active spreading and affected devices, not a proof of concept."
133,CCC-2017-072,01,133-CCC-2017-072-01,2018-03-21,fulfilled,1,strong,https://english.kiesraad.nl/latest/news/2018/03/29/results-of-the-referendum-on-the-intelligence-and-security-services-act,,2018-03-21,"The Dutch Electoral Council published the official results of the advisory referendum on the Intelligence and Security Services Act, recording votes cast in that referendum.","The official national vote occurred on the exact predicted date, 21 March 2018.","An authoritative election record directly establishes the event; no conflicting evidence.",Codex,2026-08-08,"Exact-date prediction fulfilled."
45,CCC-2005-006,01,45-CCC-2005-006-01,2006-12-31,indeterminate,,moderate,https://nvd.nist.gov/vuln/detail/CVE-2006-2312,https://www.kb.cert.org/vuls/id/466428,2006,"A 2006 disclosure affected the then-new Skype 2.0 URI handler and allowed an authorized remote party to cause arbitrary file downloads, but the located primary records do not establish code execution, credential theft or unauthorized message/session access. Other located IM flaws either affected established products or were disclosed after 2006.","The closest qualifying-new-service evidence does not meet one of the frozen security impacts, while the search did not establish that no other qualifying disclosure existed.","Because the contradiction rule calls for a comprehensive review and the historical disclosure record is incomplete, the case remains indeterminate rather than a presumed miss.",Codex,2026-08-08,"A broad CVE-family search should be independently replicated before final lock."
45,CCC-2005-006,02,45-CCC-2005-006-02,2006-12-31,fulfilled,1,strong,https://www.cs.virginia.edu/~robins/Malware_Goes_Mobile.pdf,https://www.usenix.org/event/sec07/tech/hypponen.pdf,2006,"Contemporaneous technical reporting documents CommWarrior variants actively propagating phone-to-phone by Bluetooth and MMS during 2006; retrospective incident material reports infections across more than 30 countries and a corporate mass-infection event.","Cross-country and organizational infection evidence greatly exceeds the frozen minimum of ten independently operated phones, and propagation was autonomous from infected phones.","Although the family originated in 2005, the prediction required qualifying spread during 2006 rather than a newly created family; the evidence covers 2006 variants and incidents.",Codex,2026-08-08,"The USENIX slide deck corroborates real-world breadth; the Scientific American article supplies contemporaneous mechanism and observed-device context."
45,CCC-2005-006,03,45-CCC-2005-006-03,2006-12-31,not_fulfilled,0,moderate,https://seclists.org/cert/2006/8,https://www.macworld.com/article/179006/security-41.html,2006,"The major 2006 Apple security advisories document many flaws delivered through Software Update, including code-execution issues in Mail, Safari and iChat, but the located evidence does not identify the Mac OS X update mechanism or its trust path as the vulnerable component.","Being patched by Software Update is explicitly insufficient under the frozen rule; no qualifying update-mechanism disclosure was established for 2006.","The distinction between a vulnerable updater and vulnerabilities distributed as updates resolves the apparent positive evidence. Historical absence is coded as non-fulfilment under the row's frozen rule.",Codex,2026-08-08,"Mozilla's separate 2006 auto-update vulnerability was not counted because the population was specifically Mac OS X's mechanism."
39,CCC-2006-011,01,39-CCC-2006-011-01,2007-12-31,fulfilled,1,strong,https://www.bgbl.de/xaver/bgbl/start.xav?start=%2F%2F%2A%5B%40attr_id%3D%27bgbl107s3198.pdf%27%5D,https://www.bundestag.de/resource/blob/412372/479d45f0586c5ce47d531ffe0b683131/wd-3-248-12-pdf-data.pdf,2007,"Germany enacted the telecommunications-surveillance and data-retention reform, made fingerprint-bearing electronic passports operational, and activated the central inter-agency counterterrorism database on 30 March 2007.","Telecommunications retention/interception, biometric identity/travel and intelligence-law-enforcement databases are three distinct frozen domains with enacted or operational expansion.","Each domain is supported by an official legal or parliamentary record; proposals were not counted.",Codex,2026-08-08,"The passport regulation and Bundestag record provide additional official corroboration."
39,CCC-2006-011,03,39-CCC-2006-011-03,2007-12-31,not_fulfilled,0,moderate,https://www.tagesspiegel.de/politik/bka-stellt-software-zur-online-durchsuchung-vor-1539442.html,https://www.tagesspiegel.de/politik/bundestrojaner-noch-viele-fragen-1540825.html,2007-08,"The BKA demonstrated an internally developing Remote Forensic Software concept in 2007, but contemporaneous reporting states that the technology was not mature and that the necessary legal basis was still absent.","A development-stage demonstration is expressly insufficient; no operational use or official procurement by the BKA was established by year end.","State-level contracts and later BKA capabilities were excluded under the frozen agency and deadline rules.",Codex,2026-08-08,"Scored as a miss rather than crediting near-completion."
