prediction_key,prediction_class_frozen,horizon_source_frozen,prediction_type_frozen,authorship_frozen,modal_word_in_excerpt,contextual_review_priority,review_question,source_segment_reviewed_v1_4,speaker_commitment_reassessment,threshold_translation_reassessment,proposed_addendum
1-BHPRO-2005-01-06,A,individual,occurrence,propia,,P3,Check direct scoreability against the original segment.,no,not_assessed,not_assessed,
4-BHPRO-2014-03-03,A,individual,occurrence,propia,,P3,Check direct scoreability against the original segment.,no,not_assessed,not_assessed,
11-CCC-2005-002-09,A,individual,occurrence,propia,might,P1,Check direct scoreability against the original segment.,no,not_assessed,not_assessed,
20-CCC-2012-033-01,B,individual,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
23-CCC-2018-085-01,B,section_inherited,adoption,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
23-CCC-2018-085-02,B,section_inherited,occurrence_and_breadth,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
23-CCC-2018-085-03,B,section_inherited,occurrence_and_breadth,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
23-CCC-2018-085-04,B,section_inherited,direction,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
23-CCC-2018-085-05,A,section_inherited,occurrence,kollektiv_panel,,P3,Check direct scoreability against the original segment.,no,not_assessed,not_assessed,
23-CCC-2018-085-06,B,section_inherited,direction,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
23-CCC-2018-085-07,B,section_inherited,direction_and_mechanism,kollektiv_panel,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
25-CCC-2007-013-01,B,section_inherited,occurrence,adoptada,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
25-CCC-2007-013-05,B,individual_range_upper_bound,occurrence,adoptada,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
27-CCC-2012-032-01,B,event_bound,occurrence,propia,,P2,Check whether the literal claim supports the frozen threshold and deadline.,no,not_assessed,not_assessed,
