prediction_key,session_id,judgment_frozen,evidence_strength_recorded,outcome_url_count,prediction_locator_present,primary_evidence_url,secondary_evidence_url,admissible_source_type_frozen,priority,review_action,review_status,review_note_url,new_evidence_url,new_evidence_accessed_at,proposed_addendum_judgment
1-BHPRO-2005-01-06,BHPRO-2005-01,not_fulfilled,strong,2,1,https://www.gao.gov/assets/gao-06-674.pdf,https://www.congress.gov/bill/109th-congress/senate-bill/1789,official_legislation_regulation_or_controlling_case_law,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
4-BHPRO-2014-03-03,BHPRO-2014-03,not_fulfilled,strong,2,1,https://www.intel.com/content/www/us/en/products/sku/94035/intel-xeon-phi-processor-7250-16gb-1-40-ghz-68-core/specifications.html,https://www.intel.com/content/www/us/en/developer/articles/technical/intel-avx-512-instructions.html,official_intel_product_documentation_or_contemporaneous_primary_hardware_record,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
11-CCC-2005-002-09,CCC-2005-002,indeterminate,moderate,2,1,https://www.radicati.com/wp/wp-content/uploads/2015/02/Email-Statistics-Report-2015-2019-Executive-Summary.pdf,https://www.sec.gov/Archives/edgar/data/1644675/000119312516602289/d151376d20f.htm,commercial_vendor_primary_documentation_or_contemporaneous_independent_technical_record,P2,"Revisar conflicto, cobertura y suficiencia de fuentes existentes",not_started,,,,
23-CCC-2018-085-05,CCC-2018-085,fulfilled,strong,2,1,https://digital.nhs.uk/cyber-alerts/2019/cc-3120,https://www.csk.gov.in/alerts/silex.html,CERT_vendor_law_enforcement_and_primary_threat_intelligence,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
133-CCC-2017-072-01,CCC-2017-072,fulfilled,strong,1,1,https://english.kiesraad.nl/latest/news/2018/03/29/results-of-the-referendum-on-the-intelligence-and-security-services-act,,official_election_authority_and_government_records,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
45-CCC-2005-006-01,CCC-2005-006,indeterminate,moderate,2,1,https://nvd.nist.gov/vuln/detail/CVE-2006-2312,https://www.kb.cert.org/vuls/id/466428,vendor_advisories_CVE_records_and_researcher_primary_material,P2,"Revisar conflicto, cobertura y suficiencia de fuentes existentes",not_started,,,,
45-CCC-2005-006-02,CCC-2005-006,fulfilled,strong,2,1,https://www.cs.virginia.edu/~robins/Malware_Goes_Mobile.pdf,https://www.usenix.org/event/sec07/tech/hypponen.pdf,mobile_operator_incident_response_antivirus_research_and_researcher_primary_material,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
45-CCC-2005-006-03,CCC-2005-006,not_fulfilled,moderate,2,1,https://seclists.org/cert/2006/8,https://www.macworld.com/article/179006/security-41.html,Apple_security_advisories_CVE_records_and_researcher_primary_material,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
39-CCC-2006-011-01,CCC-2006-011,fulfilled,strong,2,1,https://www.bgbl.de/xaver/bgbl/start.xav?start=%2F%2F%2A%5B%40attr_id%3D%27bgbl107s3198.pdf%27%5D,https://www.bundestag.de/resource/blob/412372/479d45f0586c5ce47d531ffe0b683131/wd-3-248-12-pdf-data.pdf,official_German_legislation_government_documents_and_controlling_court_material,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
39-CCC-2006-011-03,CCC-2006-011,not_fulfilled,moderate,2,1,https://www.tagesspiegel.de/politik/bka-stellt-software-zur-online-durchsuchung-vor-1539442.html,https://www.tagesspiegel.de/politik/bundestrojaner-noch-viele-fragen-1540825.html,official_German_government_parliamentary_judicial_or_procurement_records,P4,Preservar y comprobar los localizadores existentes,not_started,,,,
