prediction_key,selection_order,session_id,candidate_order,source_url,source_timestamp_or_page,speaker,verbatim_text,context_text,atomic_restatement,horizon_literal,deadline,indicator_frozen,threshold_success_frozen,threshold_contradiction_frozen,semantic_fidelity,alternative_restatement,rationale,independent_coder,evaluated_at,problem_type,could_change_judgment,confidence,model_name,model_version,run_id
31-VB-2016-P01-10,31,VB-2016-P01,10,https://www.youtube.com/watch?v=HtXCxA76Zbo,00:26:41-00:31:26,Adrian Sanabria,"Adrian's Endpoint Security Roadmap: 5. Data visibility ... a product that could tell us exactly what was taken, if anything was successfully exfiltrated.","Sanabria contrasts this with products that merely report infection and explains the breach-response value of knowing whether seven million, seven thousand, seven or zero records left.","By 7 October 2021, commercial endpoint platforms will provide evidence capable of identifying whether and what data was exfiltrated from a compromised endpoint.",five years out,2021-10-07,"At least two products document and independently demonstrate attribution of an outbound transfer to specific files, records or data objects, distinguishing attempted access from successful exfiltration.",At least two products meet the record-or-object attribution rule by the deadline.,Available platforms can show only process or network activity without identifying transferred data objects.,yes,By 7 October 2021, commercial endpoint platforms will provide evidence capable of identifying whether and what specific data objects or records were exfiltrated from a compromised endpoint.,"The restatement accurately reflects the speaker's emphasis on data visibility and precise exfiltration tracking.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
34-CCC-2013-034-14,34,CCC-2013-034,14,https://media.ccc.de/v/30C3_-_5413_-_de_-_saal_1_-_201312301715_-_security_nightmares_-_frank_-_ron,01:22:53-01:24:31,Frank_and_Ron,"2014 könnte es passieren ... dann denke ich, ist die Baseband-Apokalypse jetzt doch vor der Tür.","The speakers cite cheap attack base stations, rich baseband functionality, Qualcomm monoculture, shared interfaces and expansion into always-powered devices.","During 2014, a remotely exploitable baseband vulnerability with potential exposure of at least one million deployed cellular devices will be publicly demonstrated or authoritatively disclosed.",2014 könnte es passieren,2014-12-31,"A vendor advisory, CVE record plus technical analysis, or public researcher demonstration establishes exploitation through the cellular radio/baseband interface without prior application-layer compromise and documents an affected chipset or model population plausibly exceeding one million deployed units.",At least one qualifying remotely exploitable mass-exposure baseband flaw is disclosed in 2014.,A comprehensive authoritative review of 2014 baseband research identifies no remotely exploitable disclosure; absence alone is non-fulfilment.,no,During 2014, a baseband security compromise or vulnerability affecting cellular devices could happen.,"The verbatim text expresses a tentative possibility ('könnte es passieren') whereas the atomic restatement converts it into a definitive assertion of public disclosure.",Gemini,2026-09-22T15:25:00Z,modal_strength_changed,yes,high,Gemini,1.5-Pro,run_blind_eval_001
59-CCC-2016-060-01,59,CCC-2016-060,01,https://media.ccc.de/v/33c3-8413-security_nightmares_0x11,00:55:48-00:55:58,Frank,"Also ich denke, für 2017 können wir glaube ich annehmen, dass sich Ende 2017 dieser Glaubenskrieg um Auto-Updates erledigt haben sollte.",The statement appears in the explicitly introduced 2017 outlook and follows an audience poll about default automatic updates in consumer electronics.,"By 31 December 2017, the consumer-technology dispute over enabling automatic security updates by default will be materially settled in favour of default automatic updating.",Ende 2017,2017-12-31,"Contemporaneous default-update policies for the five largest consumer desktop/mobile operating-system families plus at least three major connected-device vendors, and standards or regulator guidance, coded for default automatic security updating and visible organized opposition.","At least six of eight sampled platform/vendor families enable security updates automatically by default by the deadline and authoritative guidance endorses that default, with no comparably prominent industry split over the principle.",Four or fewer sampled families enable the default and authoritative sources document an unresolved industry split; intermediate evidence is non-fulfilment or indeterminable if policies cannot be reconstructed.,yes,By 31 December 2017, the consumer-technology dispute over enabling automatic security updates by default will be materially settled.,"The restatement captures the core assertion that the controversy/dispute surrounding auto-updates would be settled by late 2017.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
100-CCC-2010-028-02,100,CCC-2010-028,02,https://media.ccc.de/v/27c3-4230-de-security_nightmares,00:29:52-00:30:28,Frank Rieger and Ron,"Dann wurden angeblich im ersten Halbjahr 2010 so viele Sicherheitslücken wie nie zuvor entdeckt ... Wir können einfach davon ausgehen, dass wir diese Meldung mittlerweile jedes Halbjahr haben werden.",The speakers explicitly adopt a recurring half-year prediction and explain it through superlinear growth of deployed software and bugs; the next observation period is the first half of 2011.,"For the first half of 2011, at least one consistent global vulnerability series will report more newly disclosed vulnerabilities than in any earlier half-year in that same series.",jedes Halbjahr,2011-06-30,A continuously maintained vulnerability catalog provides comparable publication or disclosure dates and counts for every half-year through 2011-H1.,"The 2011-H1 count exceeds every earlier half-year count in at least one primary global catalog, and no equally comprehensive primary catalog contradicts the record.",Every qualifying comprehensive catalog places 2011-H1 at least 25% below its prior record; a smaller shortfall is non-fulfilment and incompatible dating conventions yield indeterminable.,yes,In each upcoming half-year period starting in 2011-H1, new vulnerability disclosures will set a new record high in global vulnerability catalogs.,"The restatement operationalizes 'jedes Halbjahr' appropriately for the immediate next evaluation window 2011-H1.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
111-CCC-2007-014-05,111,CCC-2007-014,05,https://media.ccc.de/v/24c3-2336-de-security_nightmares,01:26:59-01:27:22,Ron_or_Frank_Rieger,"Ich sehe noch ein Outsourcing-Nightmare ... ich glaube, dass irgendwie vielleicht auch in Deutschland einige öffentliche Institutionen diese Dienste gerne annehmen werden, mit den entsprechenden Konsequenzen.",The presenter cites Google's provision of email services to universities as the model; the claim occurs inside the explicitly bounded 2008 forecast block.,"By 31 December 2008, multiple German public institutions will adopt externally hosted email or materially comparable outsourced IT-platform services.",Stichworte für 2008,2008-12-31,"Official procurement records, institutional announcements, provider case studies corroborated by the institution or contemporaneous public records document a production adoption during 2008.",At least two distinct German public institutions place externally hosted email or a comparable outsourced IT platform into production by 2008-12-31.,An authoritative comprehensive public-sector record reports no such 2008 production adoptions; pilots or announced plans alone are non-fulfilment.,yes,During 2008, several German public institutions will adopt outsourced email or cloud services.,"The atomic restatement faithfully captures the speaker's claim regarding German public institutions adopting outsourced services in 2008.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
39-CCC-2006-011-05,39,CCC-2006-011,05,https://media.ccc.de/v/23C3-1682-de-security_nightmares,00:51:22-00:52:13,Frank Rieger and Ron,Nicht mehr nur ... der IP-Stack ... Grafikarten-Exploits ... WLAN-Chipsatz ... und das wird sicherlich mehr werden.,The passage broadens attack surfaces to privileged device components and embedded systems after citing then-recent graphics and Intel wireless flaws.,"During 2007, public vulnerability disclosures involving exploitable graphics, wireless-chipset, peripheral-firmware or comparable non-IP-stack device components will exceed the 2006 count.",für 2007,2007-12-31,"Using one frozen vulnerability database and vendor advisories, count 2006 and 2007 disclosures whose vulnerable code executes in GPU/graphics drivers or firmware, Wi-Fi chipset drivers or firmware, peripheral controllers, or embedded device subsystems and permits code execution, privilege escalation or security-boundary bypass.",The 2007 qualifying count is greater than the 2006 count.,The 2007 count is lower than 2006; equality is non-fulfilment.,yes,Public vulnerability disclosures for graphics drivers, wireless chipsets, and non-IP-stack device components will increase in 2007 compared to 2006.,"The restatement accurately represents the trend and comparative growth predicted by the speaker for 2007.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
44-VB-2015-P02-01,44,VB-2015-P02,01,https://www.youtube.com/watch?v=JWm2AICa6rg,00:18:32-00:18:45,Ken Dunham,I believe that we're going to see major changes in that [payment-liability] landscape over the next five years because of the massive amount of fraud that's looming.,"The passage follows discussion of EMV, legacy payment systems and the allocation of losses among merchants, issuers and consumers.","By 1 October 2020, payment networks, regulators or legislatures will implement multiple material changes in how payment-card or mobile-payment fraud liability is allocated among merchants, issuers, processors and consumers, with fraud risk cited as a rationale.",over the next five years,2020-10-01,"Official network rules, regulator or legislative materials document at least two distinct implemented changes after the talk that materially reallocate responsibility for unauthorized payment losses or chargebacks among merchant, issuer, processor or consumer classes and explicitly cite fraud reduction or fraud-risk allocation.",At least two distinct qualifying changes are implemented by the deadline.,No qualifying implemented change is contradiction; one is non-fulfilment.,yes,Over the five years following October 2015, significant changes will be implemented in payment fraud liability allocation across merchants and issuers.,"The restatement accurately mirrors the speaker's forecast of major payment liability shifts over a 5-year timeframe.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
70-CCC-2009-021-01,70,CCC-2009-021,01,https://media.ccc.de/v/26c3-3687-de-security_nightmares,00:59:28-01:00:06,Frank Rieger and Ron,"Eines der Dinge, die wir in 2010 vorhersehen, ist, dass wir tatsächlich zu einem Zielkonflikt kommen werden zwischen Umweltschutz und Datenschutz ... es wird sich noch verschärfen ... deutlich werden. Angefangen mit intelligenten Stromzählern.",This begins the explicitly announced 2010 forecast section and identifies smart-meter energy-efficiency policy as the initial arena.,"During 2010, smart-meter deployment in Germany or the EU will generate a visible policy conflict between environmental/energy-efficiency goals and data protection.",in 2010,2010-12-31,"Contemporaneous regulator, data-protection authority, legislative, court or major civil-society records from 2010 explicitly weigh smart-meter energy/environment benefits against privacy or personal-data risks.",At least three independent authoritative 2010 interventions explicitly frame or adjudicate both sides of that conflict.,Authoritative German/EU policy records affirm that smart-meter deployment raises no personal-data issue and no qualifying intervention exists; one or two interventions are non-fulfilment.,yes,In 2010, smart meter rollouts will produce a conflict between environmental energy efficiency objectives and data privacy protections.,"The restatement captures the predicted conflict between environmental policy and privacy triggered by smart meters in 2010.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
31-VB-2016-P01-01,31,VB-2016-P01,01,https://www.youtube.com/watch?v=HtXCxA76Zbo,00:07:33-00:08:00,Adrian Sanabria,"I fully expect two or three years from now to only have two categories, to go from five down to two.",The five categories are those in Sanabria's December 2015 451 Research endpoint-security market report; the passage describes ongoing consolidation.,"By 7 October 2019, the endpoint-security market taxonomy used by 451 Research or its direct successor will contain no more than two principal product categories corresponding to the five used in the 2015 report.",two or three years from now,2019-10-07,Locate the referenced 2015 report and the latest same-author or same-firm endpoint-security taxonomy available by the deadline; count mutually exclusive top-level product categories comparable to the original five.,The comparable taxonomy has at most two top-level categories by the deadline.,It retains at least four comparable top-level categories; exactly three is scored non-fulfilment rather than contradiction.,yes,By October 2019, the 451 Research endpoint security market taxonomy will consolidate from five categories down to two.,"The restatement is a faithful summary of the speaker's forecast regarding category consolidation in market reports.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
127-CCC-2012-037-03,127,CCC-2012-037,03,https://media.ccc.de/v/29c3-5244-de-en-security_nightmares2012_h264,01:04:39-01:08:27,Frank_Rieger_and_Ron,"Wir denken, dass dieser Konflikt hier zwischen Safety, Zertifikation versus Security ... die Konflikte noch sehr interessant werden werden.","Still under the 2013 forecast heading, the speakers explain that certified smart meters, cars, industrial systems and medical devices may be difficult to patch without invalidating certification.","During calendar year 2013, conflicts between safety or product certification and timely cybersecurity patching will become conspicuous across safety-critical connected systems.",Stichworte für 2013 ... noch sehr interessant werden,2013-12-31,"Regulator or certification-body records, vendor advisories, CERT reports and contemporaneous technical research dated 2013.","At least three qualifying 2013 records across at least two safety-critical sectors explicitly link delayed, restricted or costly security updating to certification, validation, safety approval or immutable qualified configurations.","No qualifying record across a systematic sample of the named sectors, or records uniformly state certification creates no material impediment; one-sector or fewer-than-three-record evidence is non-fulfilment.",yes,During 2013, friction between regulatory safety certification requirements and security patch management will become a major issue in connected systems.,"The restatement accurately represents the core conflict between certification rigidity and patch management outlined by the speakers.",Gemini,2026-09-22T15:25:00Z,,no,high,Gemini,1.5-Pro,run_blind_eval_001
