prediction_id,source_page,atomic_restatement,deadline,temporal_status_at_freeze,indicator,success_threshold,preferred_resolution_source,adjudication_status
RSAC26-P01,2,"CISOs and VPs will maintain 2025-level investment in leadership-acumen sessions during 2026.",2026-12-31,live,"RSAC attendance or session-interest metric for leadership development by seniority","CISO/board and VP/senior-executive relative interest is not lower than the comparable 2025 level","RSAC 2026 attendance and session-evaluation data with unchanged taxonomy",not_started
RSAC26-P02,3,"C- and VP-level participants will continue to deprioritize cybersecurity staff development during 2026.",2026-12-31,live,"Comparable RSAC interest or investment metric for team development","Both groups remain at or below the report's defined average or 2025 comparison under the same measure","RSAC 2026 attendance or survey data with numerator denominator and stable taxonomy",not_started
RSAC27-P03,3,"Cybersecurity leaders who underinvest in staff development during 2026 will experience costly team departures in 2027.",2027-12-31,future,"Longitudinal departures and replacement cost among the defined leader population","A preregistered population and cost threshold must be available; otherwise indeterminate","Longitudinal workforce study linking 2026 development investment to 2027 departures",not_started
RSAC28-P04,3,"CISOs will return to greater workforce-development investment and session interest in 2028.",2028-12-31,future,"Comparable spending and RSAC session-interest measures","Both the specified investment measure and RSAC interest rise over the frozen 2026 baseline","RSAC 2028 attendance data plus an independent workforce-development spending series",not_started
RSAC26-P05,4,"In 2026 an average firm will pay 145% more than in 2020 for equivalent cyber-insurance coverage.",2026-12-31,live,"Average premium for equivalent coverage indexed to 2020","2026 index is at least 245 with 2020 equal to 100 under stable coverage and methodology","Named market series underlying RSAC Figure 4 or an equivalent documented index",not_started
RSAC26-P06,4,"Average cyber-insurance premiums will increase by at least 1% during 2026.",2026-12-31,live,"Annual change in an average premium index for equivalent coverage","Calendar-2026 change is at least positive 1.0%","Named market series underlying RSAC Figure 4 or an equivalent documented index",not_started
RSAC26-P07,4,"A competent regulator will announce the first EU DORA enforcement action by 2026-04-30.",2026-04-30,expired_at_freeze,"Officially announced DORA enforcement action against a violator","At least one qualifying final or formally announced enforcement action by the deadline","EU or national competent regulator decision or official announcement",not_started
RSAC26-P08,5,"RSAC focus on remote-work security and remote identity proofing will reach its highest level since 2022 in 2026.",2026-12-31,live,"Share of RSAC Call for Submissions in the frozen remote-work category","2026 share exceeds each comparable value from 2023 through 2025","RSAC 2026 Call for Submissions data with stable category definition",not_started
RSAC26-P09,6,"Cloud-security-only startups will comprise a smaller share of Innovation Sandbox contestants in 2026 than in 2025.",2026-12-31,live,"Share of Innovation Sandbox contestants classified solely as cloud security","2026 share is below the published 2025 share under the same classification","Official RSAC Innovation Sandbox entrant list and classification data",not_started
RSAC26-P10,6,"Supply-chain security startups will comprise approximately 3.7% of Innovation Sandbox entrants in 2026.",2026-12-31,live,"Share of entrants in the frozen supply-chain security category","Observed share rounds to 3.7% at one decimal place","Official RSAC Innovation Sandbox entrant list and classification data",not_started
RSAC26-P11,6,"Supply-chain security will comprise approximately 4.3% of RSAC Call for Submissions proposals in 2026.",2026-12-31,live,"Share of complete eligible proposals in the frozen supply-chain security category","Observed share rounds to 4.3% at one decimal place","Official RSAC Call for Submissions data with numerator denominator and taxonomy",not_started
RSAC26-P12,7,"Application-security startups will exceed 13% of Innovation Sandbox entries in 2026.",2026-12-31,live,"Share of entries classified as application security","Observed share is greater than 13.0% under the frozen taxonomy","Official RSAC Innovation Sandbox entry and classification data",not_started
RSAC26-P13,7,"AI-driven application-security startups will be more than half of application-security startups in Innovation Sandbox 2026.",2026-12-31,live,"AI-driven AppSec entries divided by all AppSec entries","Ratio is greater than 50% under the frozen nested taxonomy","Official RSAC Innovation Sandbox entry and classification data",not_started
