prediction_key,selection_order,session_id,candidate_order,source_url,source_timestamp_or_page,speaker,verbatim_text,context_text,atomic_restatement,subject,population,geography,outcome,horizon_start,deadline,prediction_class,prediction_type,indicator_frozen,threshold_success_frozen,threshold_contradiction_frozen,admissible_outcome_source_type,missing_conflict_rule,independent_judgment,primary_evidence_url,secondary_evidence_url,evidence_date_or_period,evidence_summary,threshold_application,conflict_or_missing_application,independent_coder,evaluated_at,provided_primary_evidence_url,provided_secondary_evidence_url,validation_mode,confidence,evidence_sufficiency,model_name,model_version,run_id
59-CCC-2016-060-06,59,CCC-2016-060,06,https://media.ccc.de/v/33c3-8413-security_nightmares_0x11,01:02:19-01:02:36,Frank,"Vielleicht nicht nächstes Jahr, aber übernächstes Jahr ... wir brauchen bald Werbeblocker-Blocker-Blocker und die müssen natürlich auch so langsam intelligent werden, d. h., wir werden so eine verteilte Intelligenz bauen, die uns die Werbeblocker-Blocker blockt.",The talk date makes 'the year after next' calendar year 2018; this is the defensive side of the predicted automated arms race.,"By 31 December 2018, an ad-blocking system will publicly use distributed or adaptive algorithmic logic specifically to defeat anti-ad-blocking mechanisms.",adaptive_anti_anti_adblock,ad-blocking systems and filter infrastructure,global,public implementation of adaptive or distributed anti-anti-adblock logic,2016-12-30,2018-12-31,B,occurrence,"Project code, technical documentation or a contemporaneous researcher demonstration by the deadline identifies a distributed, crowd-updated, machine-learned or otherwise adaptive mechanism whose explicit purpose is to detect or defeat anti-adblock scripts.",At least one operational public implementation meets both the adaptive/distributed and anti-anti-adblock criteria by the deadline.,Authoritative records show attempted qualifying systems were abandoned without an operational implementation; mere absence is non-fulfilment.,primary_project_code_documentation_and_contemporaneous_security_research,Ordinary manually maintained static filters qualify only if the documented system automatically distributes rapid counter-rules based on observed anti-adblock changes.,not_fulfilled,https://github.com/reek/anti-adblock-killer,https://github.com/gorhill/uBlock,2016-2018,"[URLs not opened in this run; model knowledge] Anti-Adblock Killer is a userscript plus a manually maintained filter list; uBlock Origin uses manually curated filter lists and scriptlets that are auto-downloaded. ML detectors of anti-adblock scripts (e.g. Iqbal et al. 2017) were research prototypes, not operational deployments.","Provided sources document manually authored counter-rules; periodic list download is not automatic rule generation from observed anti-adblock changes, so no operational adaptive/distributed implementation is shown.",Missing-rule applied: static manually maintained filters do not qualify; absence of a qualifying operational system is non-fulfilment.,Claude Opus 5.5 (AI),2026-09-22,https://github.com/reek/anti-adblock-killer,https://github.com/gorhill/uBlock,provided_evidence,low,moderate_unverified,Claude Opus 5.5,claude-opus-5-5,claude-opus-5-5_20260922_r1
27-CCC-2012-032-01,27,CCC-2012-032,01,https://media.ccc.de/v/29c3-5159-en-defend_freedoms_online_h264,00:19:14-00:19:37,Jérémie Zimmermann,"It was recently announced that the EU and the US would together engage into negotiating some kind of trade agreement ... you can be sure that on day one of the negotiations, there will be an intellectual property chapter in it.",The speaker identifies the not-yet-formally-named transatlantic partnership by analogy with TPP and presents a three-part prediction about its initial negotiating content.,"On the first official day of EU-US transatlantic trade-agreement negotiations, intellectual property will be included as a negotiating chapter or formally defined subject.",transatlantic_trade_IP,official EU-US transatlantic trade-agreement negotiations,European_Union_and_United_States,inclusion of intellectual property as a formal chapter or subject at negotiation launch,2012-12-27,event_bound_first_official_negotiation_day,B,occurrence,"Contemporaneous official EU or US negotiating mandate, agenda, opening statement or initial negotiating text establishes intellectual property as a formal chapter or subject no later than the first official negotiation day.",IP is formally in scope at launch; later addition does not count.,An official opening mandate or agenda expressly excludes IP from the negotiations at launch.,official_EU_US_negotiating_documents_or_contemporaneous_primary_statements,Freeze the event as the first officially designated negotiating round/day for the transatlantic agreement announced before the talk. Preparatory lobbying or later rounds do not satisfy the horizon.,fulfilled,https://ustr.gov/ttip,https://www.usitc.gov/publications/332/pub4481.pdf,2013-03 to 2013-07,"[URLs not opened in this run; model knowledge] USTR's March 2013 notification to Congress and the EU Council mandate of June 2013 both listed intellectual property rights as a negotiating subject before the first TTIP round (Washington, 8 July 2013).","IP was formally within the negotiating scope no later than the first official round, which meets the success threshold.",No official launch document excluding IP is known; no conflict.,Claude Opus 5.5 (AI),2026-09-22,https://ustr.gov/ttip,https://www.usitc.gov/publications/332/pub4481.pdf,provided_evidence,medium,moderate_unverified,Claude Opus 5.5,claude-opus-5-5,claude-opus-5-5_20260922_r1
1-BHPRO-2005-01-06,1,BHPRO-2005-01,06,https://www.youtube.com/watch?v=tNzQNYZymWU,00:11:32-00:11:42,Joseph Ansanelli,"My view is in the next 12 months that if you store personal information and you're a company that has it, you'll have an obligation to have some standards to protect it.","Immediately preceded by discussion of market dynamics, Senate Commerce and Judiciary Committee review of consumer data-security bills, and the contrast with then-existing sectoral duties in finance and healthcare.","Within 12 months, companies in the United States that store personal information will be subject to an obligation to maintain standards protecting that information.",corporate_data_security,companies storing personal information,United_States,existence of a broadly applicable and externally enforceable obligation to maintain personal-information protection standards,2005-07-28,2006-07-28,A,occurrence,Existence by the deadline of a generally applicable US legal or comparably enforceable duty covering companies that store personal information and requiring security standards beyond finance and healthcare alone.,A generally applicable duty was in force by 2006-07-28; a bill merely introduced or debated is insufficient.,No contradiction category from mere non-occurrence; contradiction requires an authoritative rule expressly eliminating or precluding such duties by the deadline.,official_legislation_regulation_or_controlling_case_law,"If federal and state duties differ, success requires coverage sufficiently broad to justify 'across the board'; isolated sectoral or single-state rules are insufficient. If scope cannot be resolved without redefining 'companies', classify indeterminable.",not_fulfilled,https://www.gao.gov/assets/gao-06-674.pdf,https://www.congress.gov/bill/109th-congress/senate-bill/1789,2005-07 to 2006-07,"[URLs not opened in this run; model knowledge] GAO-06-674 (June 2006) reports that key federal privacy laws did not require information resellers to safeguard all sensitive data. S.1789 (Personal Data Privacy and Security Act of 2005) was not enacted. General security duties existed only in a few states (e.g. California) and case-by-case FTC Section 5 actions.","No generally applicable federal duty was in force by 2006-07-28; state statutes and sectoral laws are insufficient under the frozen rule.","FTC Section 5 enforcement is case-specific rather than a codified general standard and is not treated as across-the-board coverage; no contradicting rule exists, so the outcome is non-fulfilment.",Claude Opus 5.5 (AI),2026-09-22,https://www.gao.gov/assets/gao-06-674.pdf,https://www.congress.gov/bill/109th-congress/senate-bill/1789,provided_evidence,medium,moderate_unverified,Claude Opus 5.5,claude-opus-5-5,claude-opus-5-5_20260922_r1
136-CCC-2017-062-04,136,CCC-2017-062,04,https://media.ccc.de/v/34c3-8874-gamified_control,00:38:09-00:38:44,presenter,It will become mandatory ... it will define the life of the people surrounding you as well. The schools your children for example will go to will be chosen on your rate.,"In the conclusion, the presenter restates mandatory adoption and gives school access as a concrete cross-person consequence.","By the end of 2020, a parent's mandatory social-credit rating in China will be used to determine or restrict which schools their children may attend.",china_social_credit_school_access,parents and their children's school access under the mandatory social-credit system,China,school eligibility or selection depends on parent's social-credit rating,2017-12-29,2020-12-31,B,policy_consequence,"Official education or social-credit rules, court or regulator records, authoritative legal research and contemporaneous investigative reporting through 2020.","A binding rule or documented operational case by 31 December 2020 denies, restricts or assigns a child's school access because of the parent's generalized social-credit score or status in the qualifying mandatory system.","No qualifying rule or operational case exists; restrictions based solely on unpaid court judgments, tuition nonpayment or ordinary residency rules do not qualify.",official_rules_legal_research_and_authoritative_investigative_reporting,Do not count consequences of a specific judicial debtor blacklist unless evidence shows they operate through the predicted generalized mandatory social-credit rating.,not_fulfilled,https://merics.org/en/report/chinas-social-credit-system-2021-fragmentation-towards-integration,,2017-2020,"[URL not opened in this run; model knowledge] MERICS (2021) describes the system as fragmented, with no single generalized individual score. Known school-access restrictions apply to children of court-listed judgment defaulters (e.g. barred from high-fee private schools) and stem from the judicial debtor blacklist.","No binding rule ties school access to a generalized mandatory social-credit rating; the only documented cases fall under the excluded judgment-debtor blacklist.",Missing-rule applied: judicial-debtor blacklist consequences are excluded; the outcome is non-fulfilment.,Claude Opus 5.5 (AI),2026-09-22,https://merics.org/en/report/chinas-social-credit-system-2021-fragmentation-towards-integration,,provided_evidence,medium,moderate_unverified,Claude Opus 5.5,claude-opus-5-5,claude-opus-5-5_20260922_r1
31-VB-2016-P01-07,31,VB-2016-P01,07,https://www.youtube.com/watch?v=HtXCxA76Zbo,00:26:41-00:28:27,Adrian Sanabria,Adrian's Endpoint Security Roadmap: 2. AV Certification (newer vendors) ... I promised five years out.,Sanabria explains that certification is required for many buyers and means third-party due diligence.,"By 7 October 2021, at least two newer endpoint-security vendors will have obtained recognized independent anti-malware certification.",new_vendor_AV_certification,endpoint-security vendors founded or entering endpoint protection after 2010,global,recognized independent anti-malware certification of newer vendors,2016-10-07,2021-10-07,B,count,"Public certification records from Virus Bulletin, AV-TEST, AV-Comparatives, SE Labs or another established independent laboratory identify at least two qualifying vendors/products as certified or approved by the deadline.",At least two distinct newer vendors hold a qualifying certification by the deadline.,No newer vendor holds a qualifying certification by the deadline.,independent_testing_laboratory_certification_archives,"Participation without the laboratory's passing designation does not qualify. Corporate age is judged by entry into endpoint prevention, not parent-company founding date.",fulfilled,https://www.av-test.org/en/antivirus/business-windows-client/,https://www.av-comparatives.org/tests/business-security-test-2021-august-november/,2017-2021,"[URLs not opened in this run; model knowledge] SentinelOne (AV-TEST certification 2017) and CrowdStrike Falcon (AV-Comparatives approved and AV-TEST certified before 2021) are post-2010 endpoint-prevention entrants with passing lab designations before the deadline. The provided AV-Comparatives Aug-Nov 2021 report was published after the deadline, so it counts only as corroboration.",At least two distinct newer vendors held passing designations from established labs before 2021-10-07.,No conflict; the later-dated provided report is not relied upon for timing.,Claude Opus 5.5 (AI),2026-09-22,https://www.av-comparatives.org/tests/business-security-test-2021-august-november/,https://www.av-test.org/en/antivirus/business-windows-client/,provided_evidence,medium,moderate_unverified,Claude Opus 5.5,claude-opus-5-5,claude-opus-5-5_20260922_r1
136-CCC-2017-062-03,136,CCC-2017-062,03,https://media.ccc.de/v/34c3-8874-gamified_control,00:28:14-00:29:05,presenter,"We don't know ... But we can guess ... different systems at the same time, and they will learn from this. And my guess is they will have like a little medley of the best features of the existing systems and get rid of the faulty ones.",The question explicitly concerns what the mandatory 2020 system will look like; the speaker labels the synthesis forecast as her own guess.,"By 2020, China's mandatory social-credit architecture will synthesize features from multiple pre-2020 pilot or commercial systems rather than reproduce a single pilot unchanged.",china_social_credit_pilot_synthesis,design of the anticipated mandatory national social-credit architecture,China,documented integration of features originating in multiple pilots or commercial systems,2017-12-29,2020-12-31,B,design_feature,"Official system-design and implementation records, comparative legal or policy research and authoritative technical analyses through 2020.",A qualifying mandatory nationwide system operational by 2020 incorporates at least two materially distinct mechanisms traceable to at least two pre-2020 pilot or commercial systems.,"No qualifying national system exists by 2020, or the national design demonstrably reproduces one pilot without integrating a second distinct mechanism; insufficient design disclosure is indeterminable.",official_design_records_comparative_policy_research_and_authoritative_analysis,"Mechanisms may include identifier linkage, blacklist/redlist consequences, cross-agency data exchange, point scoring or incentive restrictions; mere common use of databases is not a distinct inherited feature.",not_fulfilled,https://merics.org/en/report/chinas-social-credit-system-2021-fragmentation-towards-integration,,2017-2020,"[URL not opened in this run; model knowledge] MERICS (2021) reports that by end-2020 there was no unified mandatory nationwide population system; the architecture remained fragmented across sectoral blacklists and redlists, local pilots and corporate credit records.","The precondition of a qualifying mandatory nationwide system operational by 2020 is absent, which matches the frozen contradiction condition.",The contradiction branch 'no qualifying national system exists by 2020' applies; coded as not_fulfilled.,Claude Opus 5.5 (AI),2026-09-22,https://merics.org/en/report/chinas-social-credit-system-2021-fragmentation-towards-integration,,provided_evidence,medium,moderate_unverified,Claude Opus 5.5,claude-opus-5-5,claude-opus-5-5_20260922_r1
41-CCC-2011-031-01,41,CCC-2011-031,01,https://media.ccc.de/v/28c3-4898-de-security_nightmares,01:04:18-01:04:48,Frank Rieger and Ron,2012 wird es da wohl so eine kleine Rejustierung der Sicherheitswahrnehmung geben.,The referent is hardware authentication tokens presented as the last defence against malware; the speakers stress that they are ordinary processors running software.,"During 2012, public technical evidence will materially revise confidence in hardware banking-authentication tokens by demonstrating an exploitable implementation flaw or practical authentication bypass.",hardware_token_security_reassessment,consumer or banking hardware authentication tokens,global,public demonstration of token compromise or authentication bypass,2011-12-30,2012-12-31,B,occurrence,"A vendor advisory, researcher demonstration or peer-reviewed technical publication during 2012 shows code execution, secret extraction, transaction manipulation or an authentication bypass principally caused by a flaw in a dedicated hardware authentication token.",At least one qualifying public technical disclosure occurs in 2012.,An authoritative review of 2012 token-security research identifies no qualifying disclosure; absence alone is non-fulfilment.,vendor_advisories_researcher_primary_material_and_peer_reviewed_research,Ordinary phishing or endpoint malware that never compromises or bypasses the token does not qualify.,fulfilled,,,2012,"[No evidence URL supplied; model knowledge, not verified] Bardou et al., 'Efficient Padding Oracle Attacks on Cryptographic Hardware' (CRYPTO 2012), reported extraction of imported secret keys from several commercial PKCS#11 hardware tokens, including the RSA SecurID 800.","A 2012 peer-reviewed publication showing secret extraction from dedicated hardware authentication tokens meets the one-disclosure threshold. Caveat: these are PKI/USB tokens rather than banking TAN generators, a scope question for the 'banking' wording.",No evidence was supplied in the package; the judgment rests on unverified model knowledge and confidence is lowered accordingly.,Claude Opus 5.5 (AI),2026-09-22,,,provided_evidence,low,none_supplied_model_knowledge,Claude Opus 5.5,claude-opus-5-5,claude-opus-5-5_20260922_r1
41-CCC-2011-031-07,41,CCC-2011-031,07,https://media.ccc.de/v/28c3-4898-de-security_nightmares,01:25:39-01:25:50,Frank Rieger and Ron,"Always-on Speech Recognition ist das Nächste, was kommt.",The statement appears in the explicit 2012 round and contrasts always-listening recognition with then-current face unlock.,"By 31 December 2012, a mass-market smartphone platform or handset will publicly introduce always-listening speech recognition that can await a spoken trigger while the device is otherwise idle.",always_on_speech_recognition,mass-market smartphone platforms and handsets,global,public product introduction of idle-state always-listening voice trigger,2011-12-30,2012-12-31,B,occurrence,"Official platform, handset or chipset documentation dated no later than 2012 describes a commercially released or announced smartphone feature that continuously or periodically listens while idle for a spoken activation phrase without requiring a prior button press.",At least one qualifying mass-market platform or handset is released or publicly announced by year end.,Authoritative product documentation establishes that all candidate 2012 systems required prior manual activation; absence alone is non-fulfilment.,platform_handset_and_chipset_primary_documentation,Ordinary speech recognition after tapping a microphone button does not qualify; a research prototype without a mass-market product announcement does not qualify.,mixed,https://www.5gtechnologyworld.com/sensory-brings-voice-activation-to-the-samsung-galaxy-hi-galaxy/,https://news.samsung.com/global/samsung-galaxy-s-iii-designed-for-humans-and-inspired-by-nature,2012,"[URLs not opened in this run; model knowledge] The Samsung Galaxy S III (2012) shipped S Voice with a 'Hi Galaxy' wake-up phrase using Sensory TrulyHandsfree, usable without a button press on the lock screen. Screen-off, low-power idle listening is generally attributed to later devices (e.g. Moto X, 2013).","A wake phrase without a button press is met; whether a screen-on lock screen counts as 'otherwise idle' is unresolved.",The evidence supports the trigger criterion but conflicts on the idle-state criterion; coded mixed.,Claude Opus 5.5 (AI),2026-09-22,https://www.5gtechnologyworld.com/sensory-brings-voice-activation-to-the-samsung-galaxy-hi-galaxy/,https://news.samsung.com/global/samsung-galaxy-s-iii-designed-for-humans-and-inspired-by-nature,provided_evidence,low,moderate_unverified,Claude Opus 5.5,claude-opus-5-5,claude-opus-5-5_20260922_r1
123-CCC-2014-048-01,123,CCC-2014-048,01,https://media.ccc.de/v/31c3_-_6572_-_de_-_saal_1_-_201412301715_-_security_nightmares_-_frank_-_ron,01:11:31-01:12:03,Ron_or_Frank_Rieger,"Die Stichworte für 2015 ... Patches ohne Rückfrage ... ich denke wir werden sehen, dass ... die Auseinandersetzung ... oder Diskussion ... wahrscheinlich den Höhepunkt sehen wir dann.","The speakers explicitly introduce their keywords for 2015 and discuss vendors beginning to deploy patches without asking users, predicting the dispute will reach its high point.","During calendar year 2015, public or professional controversy over software vendors installing updates without prior user confirmation will reach a conspicuous peak.",automatic_update_controversy,software users vendors and technology-policy commentators,global,conspicuous peak in controversy over forced or automatic software updates,2014-12-30,2015-12-31,B,salience,"Contemporaneous major technology press, vendor policy announcements and policy or consumer-protection records concerning automatic or forced software updates.",At least one major platform vendor introduces or materially expands default mandatory/automatic updating in 2015 and the change generates at least five qualifying contemporaneous reports across three independent major technology-news or policy sources within any 90-day window.,"No major platform vendor materially expands default automatic updating during 2015, or every qualifying source set contains fewer than two independent reports; intermediate evidence is non-fulfilment.",major_technology_press_vendor_policy_and_consumer_protection_records,"Count distinct editorial reports rather than syndicated copies; controversy must concern absence or restriction of prior user approval, not ordinary patch defects alone.",fulfilled,https://www.eff.org/deeplinks/2015/08/windows-10-microsoft-blatantly-disregards-user-choice-and-privacy-deep-dive,https://learn.microsoft.com/en-us/windows/deployment/update/waas-overview,2015-07 to 2015-10,"[URLs not opened in this run; model knowledge] Windows 10 (released 29 July 2015) made updates mandatory and automatic for Home editions. Within 90 days, EFF (Aug 2015) and numerous independent outlets (e.g. The Verge, Ars Technica, The Register) criticized the removal of user choice.","A major platform vendor materially expanded mandatory automatic updating in 2015, and coverage plausibly exceeds five reports across three independent sources within 90 days.",No conflict identified.,Claude Opus 5.5 (AI),2026-09-22,https://learn.microsoft.com/en-us/windows/deployment/update/waas-overview,https://www.eff.org/deeplinks/2015/08/windows-10-microsoft-blatantly-disregards-user-choice-and-privacy-deep-dive,provided_evidence,medium,moderate_unverified,Claude Opus 5.5,claude-opus-5-5,claude-opus-5-5_20260922_r1
70-CCC-2009-021-02,70,CCC-2009-021,02,https://media.ccc.de/v/26c3-3687-de-security_nightmares,01:04:09-01:04:26,Frank Rieger and Ron,"Es soll ja dahin gehen, dass man praktisch live den Stromverbrauch beobachtet und sehen kann, wann geht die Waschmaschine an, wann der Kühlschrank ... und das wird für Aha-Erlebnisse sorgen.",The statement remains within the 2010 smart-meter forecast block and predicts an observable privacy-relevant capability rather than mere legal installation.,"During 2010, a public study, demonstration or deployed smart-meter service will show that fine-grained household electricity data can reveal operation of individual appliances or household activities.",smart_meter_load_disaggregation,household smart-meter data,Germany_or_comparable_market,inference of appliance operation from fine-grained consumption,2009-12-30,2010-12-31,B,occurrence,"A dated 2010 peer-reviewed study, regulator test, utility pilot report or reproducible technical demonstration infers at least two distinct appliance/activity classes from household smart-meter or advanced-metering data without an appliance-mounted sensor.",At least one qualifying 2010 source demonstrates two or more inferred appliance/activity classes.,Authoritative experiments conclude such inference is technically impossible at every deployed 2010 sampling resolution; absence alone is non-fulfilment.,peer_reviewed_research_regulator_tests_utility_pilots_and_technical_demonstrations,Aggregate monthly billing data alone does not qualify; measurements must be sufficiently granular to infer particular appliance operation or occupancy-linked activity.,fulfilled,https://colab.ws/articles/10.1145%2F1878431.1878446,https://www.ischool.berkeley.edu/research/publications/2010/inferring-personal-information-demand-response-systems,2010,"[URLs not opened in this run; model knowledge] Molina-Markham et al., 'Private Memoirs of a Smart Meter' (ACM BuildSys 2010) inferred household activities and appliance use from fine-grained meter data. Lisovich, Mulligan and Wicker (IEEE Security & Privacy, Jan/Feb 2010) inferred occupancy and appliance events from demand-response metering data.",At least one 2010 peer-reviewed source infers two or more appliance/activity classes from meter-level data without appliance sensors.,No conflict. US studies fit the 'comparable market' scope.,Claude Opus 5.5 (AI),2026-09-22,https://www.ischool.berkeley.edu/research/publications/2010/inferring-personal-information-demand-response-systems,https://colab.ws/articles/10.1145%2F1878431.1878446,provided_evidence,high,moderate_unverified,Claude Opus 5.5,claude-opus-5-5,claude-opus-5-5_20260922_r1
